Phase,ExpID,Name,Purpose,Config,Protocol,Epochs,Seeds,Status
P0 协议,E0.1,预训练 vs from-scratch 协议对照表,论文试验节协议正当性说明,YOLOv12s 两协议（已有数据 88.267 vs 88.121）,—,—,—,已完成
P1 数据侧,E1.1,标注审计,复核332个高分疑似漏标 + 抽检低分漏检边界苗,audit_high_bgfp.csv 全量人工复核,—,—,—,待执行（人力）
P1 数据侧,E1.2,干净测试子集重建与复评,量化标注噪声对指标的影响,修订后重建 test-clean，复评基线,—,—,—,待执行
P2 基线,E2.1,主基线多种子,显著性基准,YOLOv12s from-scratch 300ep,from_scratch/640/SGD,300,3,待执行（已有1种子）
P2 基线,E2.2,对比模型补齐,对比试验表,RT-DETR-r（from-scratch）；可选 Faster R-CNN,统一协议,300,1,待执行
P3 消融,E3.0,消融基线,消融起点,YOLOv12s,from_scratch/640/SGD,300,1,复用E2.1
P3 消融,E3.1,+NWD辅助损失,密集/小苗漏检（漏检率16.4%→50%）,box_loss=CIoU+λ·NWD,同上,300,1,待执行（脚本已有）
P3 消融,E3.2,+内容感知上采样,小苗漏检率46%（大苗4.8倍）,CARAFE（需实现）或 DySample 替换最近邻上采样,同上,300,1,待执行
P3 消融,E3.3,+检测头改进,94.7%漏检为低分漏检（打分校准）,DyHead 或 共享卷积轻量化头,同上,300,1,待执行
P3 消融,E3.4,+Soft-NMS后处理,密集打分抑制/重复框影响计数,Soft-NMS 替换硬NMS（先重测现有best.pt）,推理阶段,—,—,待执行（零训练成本）
P3 消融,E3.5,关键两两组合×2~3,模块互补/抑制分析,损失×上采样、损失×头 等,同上,300,1,待执行
P3 消融,E3.6,全组合×3种子,最终模型与显著性,最优组合,同上,300,3,待执行
P4 计数,E4.1,tile级计数评价,计数指标主表,每切片检测框数 vs GT框数，报R²/MAE/RMSE,—,—,—,基线快评已完成（见counting_quick_eval.csv）
P4 计数,E4.2,原始大图级计数评价,对标人工真值,30张测试大图（8540株人工真值）聚合计数回归,—,—,—,待执行
P5 可视化,E5.1,Grad-CAM热力图+检测对比图,可视化分析节,基线 vs 最终模型,—,—,—,待执行
P5 部署,E5.2,边缘设备实测（可选加分项）,轻量化叙事,n尺寸模型 Jetson FPS,—,—,—,视设备而定
